ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,,
7442,DE,Hamburg,U4,U4 to Dannerallee,2020,2025,0,2.6,100.00%,2.6,,,3,,80,1435,0,Media,511,EUR,2019,1.373156709,664.3,255.5,0,0,0,0,1.059896658,704.1,270.8,Media,https://www.nahverkehrhamburg.de/u4-kann-verlaengert-werden-planfeststellungsbeschluss-ist-da-14090/,,
8064,CN,Changsha,Line 2,Line 2 West Extension Phase 1,2012,2015,0,4.5,78,3.51,0.99,0,4,,80,1435,1,Plan,"2,466.00",CNY,2012,0.2808225179,692.45,153.9,0,0,0,0,1.180213769,817.2,181.6,Plan,https://www.ndrc.gov.cn/fzggw/jgsj/zcs/sjdt/201212/t20121224_1145294.html,,
8051,CN,Kunming,Line 3,Line 3 Phase 2,2013,2018,0,4,0.00%,,4,4,3,117,80,1435,1,map,"2,493.00",CNY,2016,0.25069964,625.74,156.4,0,0,0,0,1.129008737,706.5,176.6,,https://www.kankanyn.com/jianwen/34919.html,,
7600,DE,Berlin,U8,U8 to Wittenau,1985,1994,0,3.6,100.00%,3.6,,,4,100,80,1435,0,Wiki,520,EUR,2020,1.37930654,676,187.8,0,0,0,0,1.046980229,707.8,196.6,Trade,https://signalarchiv.de/Meldungen/10003834,,
9833,TR,Istanbul,M3,M3 Phase 3,2017,2022,0,6.2,100.00%,6.2,0,0,4,180,120,1435,1,Plan,206,USD,2020,0.4620645042,679.47,109.6,1,6.2,6.2,0,1.046980229,711.4,114.7,Plan,"https://rayhaber.com/2017/03/basaksehir-kayasehir-metrosu-insaati-ihale-sonucu/,",,
7665,CN,Shanghai,Line 2,Line 2 Western Extension 2,2006,2010,0,8.53,100,8.53,#N/A,#N/A,3,,80,1435,1,Wiki,"2,500.00",CNY,2010,0.3004025093,750,87.9,0,0,0,0,1.242662435,932,109.3,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,,
7265,DE,Berlin,U5-U55 connection,,2010,2020,0,2.2,100.00%,2.2,,,3,100,80,1435,0,Plan,525,EUR,2015,1.285145517,682.5,310.2,0,0,0,0,1.143251328,780.3,354.7,Plan,https://www.projekt-u5.de/de/die-neue-u5/,,
8075,CN,Wuhan,Line 8,Line 8 Phase 3,2017,2019,0,4.9,100.00%,4.9,0,0,2,,80,1435,1,Plan,"2,597.00",CNY,2018,0.2364514501,615.49,125.6,0,0,0,0,1.079101738,664.2,135.5,Plan,http://www.gov.cn/xinwen/2019-01/06/5355294/files/c3d503decf1d4b6b924324b210ee0f1a.pdf,,
7394,ES,Madrid,,Chamartin-Atocha tunnel,2003,2008,1,7.5,100.00%,7.5,0,0,3,,80,1445,1,Wiki,550,EUR,2006,1.358612585,687.5,91.7,1,7.5,7.5,0,1.344097222,924.1,123.2,Media,https://elpais.com/elpais/2008/07/09/actualidad/1215591420_850215.html,,
7168,BG,Sofia,Line 1,Line 1 northern,2009,2012,0,5.1,60.00%,3.1,0,0,4,,80,1435,0,Measured,407,BGN,2010,1.477227068,687.83,134.9,1,5.1,3.1,0,1.242662435,854.7,167.6,Media,https://www.novinite.com/articles/167648/Subway+Trains+to+Sofia+Airport+Start+Running+at+1+pm+on+April+2,,
7499,JP,Osaka,,Tokaido branch relocation,2015,2023,1,2.4,100.00%,2.4,0,0,1,,285,1435,1,Plan,"69,000",JPY,2019,0.009594542409,690,287.5,0,0,0,0,1.059896658,731.3,304.7,Plan,https://www.westjr.co.jp/global/en/ir/library/fact-sheets/2018/pdf/fact2018.pdf,,
,CN,Wuxi,Line 1,Line 1 South,2014,2019,0,5.187,100%,5.187,0,0,3,117,80,1435,0,,"2,598.00",CNY,2019,0.2376233859,618.324,119.2,0,0,0,0,1.059896658,655.4,126.3,,http://www.rail-transit.com/project/show.php?itemid=308,,
7538,IN,Gurgaon,Gurgaon,Phase 1,2009,2013,0,5.5,0.00%,0,5.5,0,6,,80,1435,0,Wiki,"10,880",INR,2011,0.06431054688,696.32,126.6,0,0,0,0,1.204637702,838.8,152.5,Media,http://archive.indianexpress.com/news/gurgaon-rapid-metro-begins-trial-runs/1011112/0,,
9515,UZ,Tashkent,,Sergeli Line,2017,2020,0,6.94,0.00%,0,6.94,0,6,,80,1520,0,Trade,142,USD,2018,0.0005630680064,711,102.4,0,0,0,0,1.079101738,767.2,110.6,Plan,http://www.uzbekembassy.in/construction-of-sergeli-metro-line-to-cost-170-1-million/,,
7561,UA,Kyiv,,M3 to Vynohradar,2018,2022,0,3.7,100.00%,3.7,0,0,2,,70,1520,0,Plan,"5,993",UAH,2020,0.1295542158,725.153,196,0,0,0,0,1.046980229,759.2,205.2,Media,https://www.unian.info/kiev/10350087-kyiv-metro-signs-contract-for-subway-line-construction-to-kyiv-s-vynohradar-district.html,,
7979,CN,Wuhan,Line 4,Line 4 Western Extension,2016,2018,0,4,85.00%,3.4,0,0,2,,80,1435,0,Plan,"2,634.00",CNY,2015,0.2583514029,679.57,169.9,0,0,0,0,1.143251328,776.9,194.2,Plan,http://img.thupdi.com/news/2015/08/1440573393290975.pdf,,
7320,GR,Thessaloniki,,Kalamaria Extension,2013,2021,0,4.8,100.00%,4.8,0,0,5,,80,1435,0,Plan,567,EUR,2017,1.739006436,737.1,153.6,1,4.8,4.8,0,1.105458551,814.8,169.8,Plan,https://www.ametro.gr/wp-content/uploads/2018/08/AM_Xrimatooikonomikes_katastaseis_2017.pdf,,
7688,CN,Shanghai,Line 9,Line 9 Phase 3,2009,2012,0,5.372,100.00%,5.372,0,0,,,80,1435,1,Wiki,"2,800.00",CNY,2010,0.3004025093,840,156.4,0,0,0,0,1.242662435,"1,043.80",194.3,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A9%E5%8F%B7%E7%BA%BF,,
,KR,Seoul,Line 9,Line 9 Phase 4,2021,2028,0,4.1,100.00%,4.1,,,4,160,80,1435,1,,"640,800",KRW,2021,0.001170828447,768.96,187.6,1,4.1,4.1,0,1,769,187.6,,http://www.redaily.co.kr/news/articleView.html?idxno=571,,
7361,AT,Vienna,,Line 1 extension,2012,2017,0,4.7,57.00%,2.7,0.06,2.008,5,,80,1435,0,Measured,600,EUR,2015,1.251857443,780,166,0,0,0,0,1.143251328,891.7,189.7,Plan,https://www.wien.gv.at/stadtentwicklung/projekte/verkehrsplanung/u-bahn/u1-oberlaa.html,,
7721,CN,Shenzhen,Line 7,Line 7 Phase 2,2012,2016,0,2.45,100.00%,2.45,0,0,2,,80,1435,1,Plan,"2,806.00",CNY,2020,0.239311224,670.63,273.7,0,0,0,0,1.046980229,702.1,286.6,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf,,
,IT,Naples,,MCNE (Piscinola- Aversa),2001,2009,0,10.6,100.00%,10.6,0,0,5,110,80,1435,1,wiki,611,EUR,2005,1.16940053,794.3,74.9,1,10.6,10.6,0,1.387455197,"1,102.10",104,plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1332,,
7185,PL,Warsaw,Line 2,Line 2 extension to Bródno,2018,2022,0,4,100.00%,4,0,0,3,,90,1435,0,Trade,"1,400",PLN,2020,0.5725494597,799.4,199.9,0,0,0,0,1.046980229,837,209.2,Trade,https://www.railwaypro.com/wp/a-single-bidder-for-warsaw-metro-line-2-extension/,,
